,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,25,BAL,NBA,,11,,5,10,,,,,,,,24
1964-65,26,DET,NBA,,9,,6,8,,,,,,,,20
1965-66,27,DET,NBA,,8,,5,10,,,,,,,,20
1966-67,28,CHI,NBA,,17,27,10,13,,,20,4,,,6,42
1967-68,29,SDR,NBA,,16,,12,14,,,,,,,,37
1968-69,30,SDR,NBA,,16,,14,19,,,,,,,,38
1969-70,31,SDR,NBA,,17,,8,12,,,,,,,,40
1970-71,32,SEA,NBA,,15,,9,13,,,,,,,,36
1971-72,33,SEA,NBA,,12,,13,18,,,,,,,,30
1972-73,34,KCO,NBA,,12,,5,12,,,,,,,,28
1973-74,35,KCO,NBA,,13,,8,9,,,,,,,,30
1974-75,36,KCO,NBA,,8,,4,7,,,,,,,,18
Career,,,,,17,,14,19,,,,,,,,42
3 Seasons,,SDR,NBA,,17,,14,19,,,,,,,,40
3 Seasons,,KCO,NBA,,13,,8,12,,,,,,,,30
2 Seasons,,SEA,NBA,,15,,13,18,,,,,,,,36
2 Seasons,,DET,NBA,,9,,6,10,,,,,,,,20
1 Season,,CHI,NBA,,17,27,10,13,,,20,4,,,6,42
1 Season,,BAL,NBA,,11,,5,10,,,,,,,,24
