,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,28,CHI,NBA,,9,21,2,4,,,12,2,,,5,20
1968-69,30,SDR,NBA,,12,20,7,9,,,10,7,,,6,26
1974-75,36,KCO,NBA,,1,3,4,4,1,2,3,1,,0,2,4
Career,,,,,12,21,7,9,,,12,7,,,6,26
1 Season,,SDR,NBA,,12,20,7,9,,,10,7,,,6,26
1 Season,,KCO,NBA,,1,3,4,4,1,2,3,1,,0,2,4
1 Season,,CHI,NBA,,9,21,2,4,,,12,2,,,5,20
