Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
David Wood,,2.8,2.3,2.2,1.3,1,0.5,0
Toby Kimball,87.8,3.2,2.5,2,1.2,1.2,0.4,0.2
Tony Massenburg,86.6,2.8,2.2,1.8,1.7,1.3,0.4,-0.1
Matt Bullard,86.1,3.4,2.5,2.4,1.7,1,0.6,0.2
Wesley Johnson,85.7,2.6,1.9,1.7,1.3,0.9,0.6,0
Ryan Bowen,85.4,3.1,2.1,1.7,1.4,1.1,0.8,0.2
Steve Kuberski,84.9,2.6,2.3,1.7,1.7,1.2,0.6,0.2
Damien Wilkins,84.7,2.8,1.9,1.7,1.5,1,1,0
Mark Acres,84.0,2.5,2.2,1.9,1.6,0.9,0.3,NA
Jarvis Hayes,83.5,2.9,2.1,1.7,1.5,0.8,0.7,0.5
Corie Blount,83.2,2.6,2.5,1.7,1.2,0.9,0.8,0.7
