Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
David Wood,,2.8,2.3,2.2,1.3,1,0.5,0,NA,NA
Monty Williams,86.3,3.1,2.9,2.3,1.3,1.2,0.5,0.3,0,-0.1
Mark Acres,84.0,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA,NA
Jarvis Hayes,83.5,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA
Shelden Williams,81.2,2.2,2.1,2,1.9,1.2,0.5,NA,NA,NA
Don Barksdale,81.1,3.1,2.3,2.2,1.5,NA,NA,NA,NA,NA
Al Tucker,81.1,3.5,2.3,2.3,2.1,1.1,NA,NA,NA,NA
McCoy McLemore,80.7,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,NA
Willie Burton,80.3,2.6,2.1,2,1.6,0.5,0.2,0.1,-0.1,NA
Mark Landsberger,80.1,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA,NA
Ira Newble,79.7,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1,NA
