,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1960-61,22,LAL,NBA,,12,,13,16,,,,,,,5,33
1961-62,23,LAL,NBA,,16,,20,23,,,,,,,5,41
1962-63,24,LAL,NBA,,17,30,11,23,,,12,9,,,4,42
1963-64,25,LAL,NBA,,15,29,13,15,,,10,6,,,5,39
1964-65,26,LAL,NBA,,20,43,20,21,,,12,9,,,5,52
1965-66,27,LAL,NBA,,19,32,12,16,,,11,12,,,5,45
1966-67,28,LAL,NBA,,0,0,0,0,,,1,0,,,0,0
1967-68,29,LAL,NBA,,14,,14,16,,,,,,,,40
1968-69,30,LAL,NBA,,21,41,17,20,,,13,13,,,6,53
1969-70,31,LAL,NBA,,14,29,18,21,,,9,18,,,6,39
1971-72,33,LAL,NBA,,13,30,11,13,,,8,13,,,4,37
1972-73,34,LAL,NBA,,14,25,11,12,,,9,19,,,6,36
1973-74,35,LAL,NBA,,2,9,0,0,0,2,2,1,0,0,1,4
Career,,,,,21,,20,23,,,,,,,,53
