Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1960-61,22,LAL,NBA,PG,1,0,25:00,2,8,0.25,5,6,0.833,NA,2,4,NA,NA,3,9
1961-62,23,LAL,NBA,PG,1,1,31:00,7,14,0.5,4,6,0.667,NA,3,1,NA,NA,2,18
1962-63,24,LAL,NBA,PG,1,1,32:00,5,15,0.333,3,4,0.75,NA,7,5,NA,NA,1,13
1963-64,25,LAL,NBA,PG,1,1,42:00,8,20,0.4,1,1,1,NA,4,5,NA,NA,3,17
1964-65,26,LAL,NBA,PG,1,1,40:00,8,16,0.5,4,6,0.667,NA,5,6,NA,NA,2,20
1965-66,27,LAL,NBA,PG,1,1,11:00,1,5,0.2,2,2,1,NA,1,0,NA,NA,2,4
1966-67,28,LAL,NBA,PG,1,1,30:00,6,11,0.545,4,4,1,NA,3,6,NA,NA,3,16
1967-68,29,LAL,NBA,SG,1,1,32:00,7,17,0.412,3,4,0.75,NA,6,6,NA,NA,4,17
1968-69,30,LAL,NBA,SG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-70,31,LAL,NBA,PG,1,1,31:00,7,12,0.583,8,12,0.667,NA,5,5,NA,NA,3,22
1970-71,32,LAL,NBA,PG,1,1,20:00,2,4,0.5,1,3,0.333,NA,1,9,NA,NA,1,5
1971-72,33,LAL,NBA,PG,1,1,27:00,6,9,0.667,1,2,0.5,NA,6,5,NA,NA,2,13
1972-73,34,LAL,NBA,PG,1,1,20:00,3,6,0.5,0,0,NA,NA,4,3,NA,NA,2,6
1973-74,35,LAL,NBA,PG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,12,11,341,62,137,0.453,36,50,0.72,NA,47,55,NA,NA,28,160
