Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,23,NOB,ABA,NA,22,120,5.7,0.37,0.014,0.314,NA,NA,6.9,12.8,12.1,27.9,NA,-0.4,0.1,-0.2,-0.099
Career,NA,,ABA,NA,22,120,5.7,0.37,0.014,0.314,NA,NA,6.9,12.8,12.1,27.9,NA,-0.4,0.1,-0.2,-0.099
