Season,Team,Lg,Salary
1995-96,Cleveland Cavaliers,NBA,"$752,000"
1996-97,Cleveland Cavaliers,NBA,"$864,000"
1997-98,Cleveland Cavaliers,NBA,"$976,920"
1998-99,Cleveland Cavaliers,NBA,"$3,133,000"
1999-00,Cleveland Cavaliers,NBA,"$3,760,000"
2000-01,Golden State Warriors,NBA,"$4,390,000"
2001-02,Golden State Warriors,NBA,"$5,213,333"
2002-03,Golden State Warriors,NBA,"$5,639,999"
2003-04,Detroit Pistons,NBA,"$6,266,666"
2004-05,Houston Rockets,NBA,"$3,200,000"
2005-06,Houston Rockets,NBA,"$3,520,000"
2006-07,Houston Rockets,NBA,"$3,840,000"
2007-08,Houston Rockets,NBA,"$3,840,000"
Career,(may be incomplete),,"$45,395,918"
