Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Bob Sura,,5.2,4.9,4.8,4.6,4.1,1.8,1.6,0.7,0.4,0.1
Patty Mills,91.0,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0
Walt Hazzard,88.6,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2
Rory Sparrow,88.0,5.6,4.3,4.2,4.2,3.7,1.6,1,0.7,0.5,-0.1
Bob Weiss,88.0,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.1,0.1,0
Chris Duhon,86.0,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1,0.2,NA
Larry Steele,86.0,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA
Tyreke Evans,85.9,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3
Pooh Richardson,85.8,5.9,4.4,4.1,4,3.8,2.1,1.4,1,0.2,-0.1
Patrick Beverley,85.7,5.3,4.8,4.4,4.2,3.5,2.2,0.4,NA,NA,NA
Ricky Davis,85.7,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2
