,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,21,NJN,NBA,PF,75,1965,,,,62%,38%,+2.4,+8.1,20,39,136,26,106,0,180,21,77
2005-06,22,NJN,NBA,PF,80,2469,,,,57%,43%,+5.3,+10.3,25,42,131,32,116,49,208,27,84
2006-07,23,NJN,NBA,C,26,848,,,,,100%,-0.5,+0.1,10,18,49,5,53,12,110,15,32
2007-08,24,NJN,NBA,C,45,812,,,,26%,75%,-5.4,+0.4,14,10,61,7,30,2,65,3,17
2008-09,25,OKC,NBA,C,46,1141,,,,,100%,-6.3,+0.7,10,21,66,5,42,5,70,11,17
2009-10,26,OKC,NBA,C,76,1741,,,,,100%,+3.0,-2.2,15,17,117,13,55,15,120,12,25
2010-11,27,TOT,NBA,C,71,1571,,,,,100%,+1.1,-5.0,14,16,91,9,68,8,62,10,35
2010-11,27,OKC,NBA,C,47,1018,,,,,100%,-1.5,-7.6,7,11,58,5,30,5,43,8,18
2010-11,27,BOS,NBA,C,24,553,,,,,100%,+5.9,-0.2,7,5,33,4,38,3,19,2,17
Career,,,NBA,,419,10547,,,,27%,73%,+1.2,+2.9,108,163,651,97,470,91,815,99,287
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NJN,NBA,,226,6094,,,,46%,54%,+2.1,+6.8,69,109,377,70,305,63,563,66,210
3 seasons,,OKC,NBA,,169,3900,,,,,100%,-0.9,-2.8,32,49,241,23,127,25,233,31,60
1 season,,BOS,NBA,,24,553,,,,,100%,+5.9,-0.2,7,5,33,4,38,3,19,2,17
