Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Nenad Krstić,,5.4,4.4,4.2,4,1.9,1.7,-0.1
Tim McCormick,91.2,6,4.6,3.9,3.8,2,1.1,-0.1
Lloyd Neal,89.7,4.8,4.7,4.3,4.3,2.9,1.8,-0.1
Kelvin Cato,88.5,5.3,4.6,4.2,3.8,2.7,1.7,1.6
Blair Rasmussen,87.6,5.2,4.2,3.3,3,1.8,1.7,-0.1
Kelly Olynyk,86.0,5.5,4.7,4.1,4.1,3.6,2.9,NA
Jack Nichols,85.9,6.7,4.4,4.3,4.1,1.6,0.3,NA
Matt Geiger,85.7,5.9,4.7,4.5,4.3,2.7,1.9,1.2
Greg Ostertag,85.4,5.9,4.2,3.8,3.8,2.2,2.1,1.4
Benoit Benjamin,84.6,5.4,5.1,4,3,2.2,2,1.1
Mel Counts,84.6,5,4.3,4.2,2.9,2.7,1.5,1
