Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Nenad Krstić,,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA,NA
Tim McCormick,89.9,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA,NA
Lloyd Neal,89.7,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA
Blair Rasmussen,86.8,5.2,4.2,3.3,3,1.8,1.7,0,-0.1,NA,NA
Jack Nichols,86.0,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA
Kelly Olynyk,86.0,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA
Cody Zeller,84.1,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA
Randy Denton,83.4,5.5,4.3,3.9,3.1,3,0.4,NA,NA,NA,NA
Kevin Kunnert,82.9,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA
Sam Bowie,81.4,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
Dewayne Dedmon,80.2,5.2,4,3.7,2.4,1.7,0.6,NA,NA,NA,NA
