Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Rick Mount,,4.6,3.5,1.1,0.7,0.6,NA,NA,NA,NA,NA,NA
Al Smith,89.1,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA,NA
Kelenna Azubuike,87.6,4.1,3.4,1.2,0.7,-0.1,NA,NA,NA,NA,NA,NA
Delon Wright,86.1,4.5,4.3,1.1,0.6,NA,NA,NA,NA,NA,NA,NA
Pep Saul,85.2,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA,NA
Reggie Bullock,84.1,4.2,3.1,1.2,1,0.2,0.1,NA,NA,NA,NA,NA
Paul Hoffman,80.2,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA,NA,NA
Roger Mason,79.5,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA
Johnny Neumann,78.2,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA,NA,NA
Troy Hudson,77.3,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0,-0.1,-0.2
Ed Fleming,77.1,5,2,1.2,1,0.8,NA,NA,NA,NA,NA,NA
