Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rick Mount,,4.6,3.5,1.1,0.7,0.6
Martell Webster,89.2,4.4,3.5,1.3,0.9,0
Al Smith,89.1,4.5,3.3,1.8,0.9,0.6
Kelenna Azubuike,87.6,4.1,3.4,1.2,0.7,-0.1
Delon Wright,86.1,4.5,4.3,1.1,0.6,NA
Scott Burrell,85.6,5.6,3.7,1.1,0.8,0.5
Wali Jones,85.2,4,4,1.3,0.8,0.3
Carlos Arroyo,83.9,4.7,2.7,1.3,0.4,0.3
Will Barton,83.7,4.3,3.3,1.3,0.6,-0.5
Aaron Brooks,83.1,5.5,3.6,1.4,1.1,0.8
Lee Winfield,80.9,4.5,2.8,1.6,0.5,-0.1
