,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,24,INA,ABA,,10,,3,,,,11,12,,,,,,,,,26
1971-72,25,INA,ABA,,13,,4,,,,8,10,,,,,,,,,30
1972-73,26,KEN,ABA,,12,,2,,,,8,9,,,,,,,,,30
1973-74,27,TOT,ABA,,10,,4,,,,5,7,,,,,,,,,21
1973-74,27,KEN,ABA,,7,,1,,,,5,7,,,,,,,,,14
1973-74,27,UTS,ABA,,10,,4,,,,4,5,,,,,,,,,21
1974-75,28,MMS,ABA,,14,,4,,,,10,10,,,,,,,,,32
Career,,,,,14,,4,,,,11,12,,,,,,,,,32
2 Seasons,,INA,ABA,,13,,4,,,,11,12,,,,,,,,,30
2 Seasons,,KEN,ABA,,12,,2,,,,8,9,,,,,,,,,30
1 Season,,UTS,ABA,,10,,4,,,,4,5,,,,,,,,,21
1 Season,,MMS,ABA,,14,,4,,,,10,10,,,,,,,,,32
