Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Deyonta Davis,,2.7,0.5,0.4,NA,NA,NA,NA,NA,NA
Sean Williams,84.6,2.5,0.4,0.3,-0.2,NA,NA,NA,NA,NA
Dave Hoppen,81.0,2.6,0.8,0.2,0,0,-0.1,NA,NA,NA
Evan Eschmeyer,78.8,2.5,0.7,0.5,0.2,NA,NA,NA,NA,NA
George Johnson,75.7,2.4,0.3,0.2,0.1,NA,NA,NA,NA,NA
Michael Stewart,72.7,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1,NA
Chris Anstey,66.4,1.9,0.6,0.3,NA,NA,NA,NA,NA,NA
Gustavo Ayón,65.0,3.2,1.2,0.7,NA,NA,NA,NA,NA,NA
Jack Haley,64.0,2.2,0.4,0.3,0.2,0.1,0,0,0,-0.3
Ed Mikan,62.5,2.7,0.8,0.8,0,-0.7,NA,NA,NA,NA
Ivica Zubac,61.4,3.2,1.1,1,NA,NA,NA,NA,NA,NA
