Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Frank Williams,,0.3,-0.1,-0.2
Ron Baker,2.3,0.5,-0.1,-0.1
Sean Higgins,2.2,0.4,0,-0.1
Michael Wilson,-5.9,0.4,-0.1,-0.1
Andre Barrett,-16.2,0.4,0,-0.1
Rich Rinaldi,-18.8,0.4,0,-0.2
Michael Phelps,-21.7,0.3,0.1,-0.1
Troy Hudson,-25.6,0.5,0,-0.2
Joe Young,-26.2,0.5,-0.1,-0.1
Elijah Millsap,-28.2,0.4,0.1,-0.1
Stephen Graham,-28.6,0.4,0,-0.1
