Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Frank Williams,,0.3,-0.1,-0.2
Ron Baker,2.3,0.5,-0.1,-0.1
Michael Wilson,-5.9,0.4,-0.1,-0.1
Rich Rinaldi,-18.8,0.4,0,-0.2
Michael Phelps,-21.7,0.3,0.1,-0.1
Joe Young,-26.2,0.5,-0.1,-0.1
Elijah Millsap,-28.2,0.4,0.1,-0.1
Brad Holland,-31.9,0.3,0.1,-0.1
Billy Thomas,-35.0,0.4,0.2,-0.1
Malcolm Lee,-35.7,0.4,0.1,0
Bob Duffy,-42.7,0.3,0.1,0.1
