Season,Team,Lg,Salary
1990-91,Chicago Bulls,NBA,"$150,000"
1991-92,Chicago Bulls,NBA,"$350,000"
1992-93,Chicago Bulls,NBA,"$613,000"
1993-94,Chicago Bulls,NBA,"$641,000"
1994-95,Philadelphia 76ers,NBA,"$1,500,000"
1995-96,Philadelphia 76ers,NBA,"$1,950,000"
1996-97,Philadelphia 76ers,NBA,"$2,400,000"
1997-98,Philadelphia 76ers,NBA,"$2,850,000"
1998-99,Milwaukee Bucks,NBA,"$3,300,000"
1999-00,Milwaukee Bucks,NBA,"$3,750,000"
2000-01,Milwaukee Bucks,NBA,"$4,200,000"
2001-02,Denver Nuggets,NBA,"$4,650,000"
2002-03,Phoenix Suns,NBA,"$1,030,000"
2003-04,Phoenix Suns,NBA,"$1,070,000"
2004-05,Cleveland Cavaliers,NBA,"$1,600,000"
Career,(may be incomplete),,"$30,054,000"
