Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Scott Williams,,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,1.1,0.9,0.4,0.3,0.1,-0.1
Fred Roberts,89.4,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2,0,NA,NA
Othella Harrington,89.2,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0,NA,NA,NA
Keith Erickson,88.2,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,NA,NA,NA
Charles Jones,87.2,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0.6,0.2,0.2,0,0
Reggie Evans,87.1,4.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,1.2,0.2,NA,NA
Tom McMillen,86.8,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,1.2,0.8,NA,NA,NA,NA
Vladimir Radmanović,86.4,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0,NA,NA,NA
J.R. Reid,85.1,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,NA,NA,NA,NA
Pat Cummings,84.2,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,NA,NA,NA
Dwight Jones,84.0,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,NA,NA,NA,NA,NA
