Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,NYA,ABA,SF,5,30,4.9,0.381,0,0.286,NA,NA,10.4,17.4,20.2,12,NA,0,0,0,-0.016
Career,NA,,ABA,,5,30,4.9,0.381,0,0.286,NA,NA,10.4,17.4,20.2,12,NA,0,0,0,-0.016
