Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Shawnelle Scott,,0.5,0.4,0.2,0.2
Dave Feitl,92.6,0.5,0.4,0.3,0.2
Olumide Oyedeji,73.3,0.4,0.4,0.3,NA
Eric Riley,71.5,0.6,0.5,0.4,0.3
Daniel Orton,70.4,0.5,0.3,0.3,NA
Jabari Smith,69.9,0.7,0.5,0.2,0
Didier Ilunga-Mbenga,66.7,0.5,0.4,0.1,0
Hamed Haddadi,65.2,0.6,0.6,0.4,0
Dwayne Schintzius,60.6,0.4,0.2,0.2,0.1
Mamadou N'Diaye,59.1,0.8,0.6,0.3,0
Greg Dreiling,57.8,0.4,0.2,0.2,0.1
