Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Shawnelle Scott,,0.5,0.4,0.2,0.2,NA,NA,NA,NA
Dave Feitl,88.4,0.5,0.4,0.3,0.2,0.1,NA,NA,NA
Olumide Oyedeji,73.3,0.4,0.4,0.3,NA,NA,NA,NA,NA
Hamed Haddadi,70.4,0.6,0.6,0.4,0.1,0,NA,NA,NA
Daniel Orton,70.4,0.5,0.3,0.3,NA,NA,NA,NA,NA
Jabari Smith,69.9,0.7,0.5,0.2,0,NA,NA,NA,NA
Mamadou N'Diaye,68.9,0.8,0.6,0.3,0.2,0,NA,NA,NA
Todd Fuller,53.6,0.7,0.7,0.6,0.2,0,NA,NA,NA
Dwayne Schintzius,52.7,0.4,0.3,0.2,0.2,0.1,0,-0.1,-0.2
Alan Ogg,50.6,0.5,0.3,0,NA,NA,NA,NA,NA
Kyrylo Fesenko,49.8,0.6,0.3,0.1,0,-0.1,NA,NA,NA
