Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
A.J. Guyton,,0.3,0.1,-0.1,NA
Dwight Buycks,68.8,0.2,0.1,0,NA
Gerald Madkins,65.7,0.3,0.1,0,NA
Dave Jamerson,60.8,0.2,0.1,-0.1,NA
Michael Phelps,60.0,0.3,0.1,-0.1,NA
Brad Holland,54.8,0.3,0.1,-0.1,NA
Malcolm Lee,49.9,0.4,0.1,0,NA
R.J. Hunter,48.7,0.3,0.1,0,0
Elijah Millsap,47.6,0.4,0.1,-0.1,NA
Russ Lee,47.5,0.3,0.2,0,NA
Demetrius Jackson,47.1,0.2,0.1,-0.1,NA
