Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Justin Anderson,,1.9,1.2,1.1,0.4,NA
Mo Layton,91.7,1.9,1.1,1,0.3,0.1
Donnie Butcher,90.9,1.9,1.2,1.1,0.5,-0.3
Steven Kramer,89.2,1.9,1.2,1.1,NA,NA
Dirk Minniefield,86.3,1.9,1.1,1.1,NA,NA
Mike Davis,85.9,2.2,1.2,0.9,0.6,NA
Raul Neto,84.9,1.8,1.1,0.9,0.7,NA
Lloyd Walton,82.6,1.9,1.1,1.1,1.1,0.1
Corky Devlin,81.7,1.8,1.2,0.8,NA,NA
Todd Lichti,81.6,1.8,1.3,1.2,1,0.2
Bo Lamar,79.3,2.5,1.5,1,0.5,NA
