Season,Team,Lg,Salary
2015-16,Dallas Mavericks,NBA,"$1,449,000"
2016-17,Philadelphia 76ers,NBA,"$1,514,160"
2017-18,Philadelphia 76ers,NBA,"$1,579,440"
2018-19,Atlanta Hawks,NBA,"$2,516,048"
Career,(may be incomplete),,"$7,058,648"
