,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,22,DAL,NBA,SF,55,647,2%,15%,77%,7%,,+1.4,+1.9,10,7,24,2,21,0,70,3,11
2016-17,23,TOT,NBA,SF,75,1228,,6%,84%,11%,,-7.7,-3.7,24,22,58,10,57,6,156,9,17
2016-17,23,DAL,NBA,SF,51,710,,8%,82%,10%,,-9.6,-7.8,17,12,36,6,41,5,73,5,11
2016-17,23,PHI,NBA,SF,24,518,,3%,85%,12%,,-5.3,+0.7,7,10,22,4,16,1,83,4,6
2017-18,24,PHI,NBA,SF,38,519,,10%,73%,17%,,-6.3,-12.7,9,1,25,2,18,1,58,4,13
2018-19,25,ATL,NBA,SF,48,463,,5%,46%,48%,1%,-6.1,-0.2,9,6,23,4,17,4,57,4,9
2019-20,26,BRK,NBA,SF,3,17,,35%,65%,,,-22.2,-21.6,0,0,1,0,1,0,0,0,0
Career,,,NBA,,219,2874,,9%,74%,17%,,-5.2,-3.6,52,36,131,18,114,11,341,20,50
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DAL,NBA,,106,1357,1%,11%,80%,8%,,-4.4,-3.2,27,19,60,8,62,5,143,8,22
2 seasons,,PHI,NBA,,62,1037,,7%,79%,14%,,-5.8,-6.0,16,11,47,6,34,2,141,8,19
1 season,,ATL,NBA,,48,463,,5%,46%,48%,1%,-6.1,-0.2,9,6,23,4,17,4,57,4,9
1 season,,BRK,NBA,,3,17,,35%,65%,,,-22.2,-21.6,0,0,1,0,1,0,0,0,0
