Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Justin Anderson,,1.9,1.2,1.1,0.4
John Crotty,91.1,2.1,1.3,1,0.3
Steven Kramer,89.2,1.9,1.2,1.1,NA
Juan Dixon,88.3,2,1.4,1.2,0.1
Joe Hassett,87.2,2,1.4,0.9,0.5
Mo Layton,87.1,1.9,1.1,1,0.1
Dirk Minniefield,86.3,1.9,1.1,1.1,NA
Mike Davis,85.9,2.2,1.2,0.9,0.6
Todd Lichti,85.4,1.8,1.3,1.2,1
Raul Neto,84.9,1.8,1.1,0.9,0.7
Lloyd Walton,84.0,1.9,1.1,1.1,1.1
