Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1976-77,21,ATL,NBA,C,59,NA,1354,6.2,14.8,0.417,3.8,5.6,0.683,3.8,9.8,13.6,2,1.1,1.4,NA,7.6,16.1,NA,NA,99
1978-79,23,TOT,NBA,C,39,NA,476,6.5,14.9,0.436,2.6,3.5,0.73,4.3,7.1,11.4,1.4,1,1.1,3.3,7.3,15.6,NA,94,106
1978-79,23,HOU,NBA,C,5,NA,16,8.7,17.3,0.5,5.8,5.8,1,5.8,11.6,17.3,0,0,0,2.9,14.4,23.1,NA,116,107
1978-79,23,BOS,NBA,C,12,NA,131,7.2,16.5,0.438,3.8,5.2,0.733,4.1,6.2,10.3,2.1,1.4,1.4,4.5,8.9,18.2,NA,92,106
1978-79,23,NYK,NBA,C,22,NA,329,6.1,14.2,0.431,1.9,2.8,0.7,4.3,7.2,11.5,1.3,0.8,1,2.8,6.3,14.2,NA,94,106
Career,NA,,NBA,,98,NA,1830,6.3,14.8,0.422,3.5,5,0.692,3.9,9.1,13,1.9,1.1,1.3,0.9,7.5,16,NA,94,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,ATL,NBA,,59,NA,1354,6.2,14.8,0.417,3.8,5.6,0.683,3.8,9.8,13.6,2,1.1,1.4,NA,7.6,16.1,NA,NA,99
1 season,NA,NYK,NBA,,22,NA,329,6.1,14.2,0.431,1.9,2.8,0.7,4.3,7.2,11.5,1.3,0.8,1,2.8,6.3,14.2,NA,94,106
1 season,NA,BOS,NBA,,12,NA,131,7.2,16.5,0.438,3.8,5.2,0.733,4.1,6.2,10.3,2.1,1.4,1.4,4.5,8.9,18.2,NA,92,106
1 season,NA,HOU,NBA,,5,NA,16,8.7,17.3,0.5,5.8,5.8,1,5.8,11.6,17.3,0,0,0,2.9,14.4,23.1,NA,116,107
