Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1976-77,21,ATL,NBA,C,59,1354,11.5,0.468,0.376,8.6,23.2,15.8,6.4,1.1,1.7,NA,NA,NA,-0.4,1.4,1,0.035,NA,-3.1,-0.3,-3.5,-0.5
1978-79,23,TOT,NBA,C,39,476,9.1,0.473,0.237,10.2,17,13.6,4.1,1,1.2,16.5,17,NA,-0.1,0.4,0.3,0.031,NA,-3.5,-1,-4.6,-0.4
1978-79,23,HOU,NBA,C,5,16,13.2,0.581,0.333,13.8,26.8,20.4,0,0,0,12.7,19.4,NA,0,0,0,0.147,NA,-4.3,-0.3,-4.6,0
1978-79,23,BOS,NBA,C,12,131,9.5,0.485,0.313,10.1,15.4,12.7,6.2,1.4,1.6,19.2,20.1,NA,-0.1,0.1,0,0.017,NA,-4,-0.4,-4.4,-0.1
1978-79,23,NYK,NBA,C,22,329,8.8,0.46,0.196,10.1,17.1,13.6,3.4,0.8,1.1,15.3,15.6,NA,-0.1,0.3,0.2,0.031,NA,-3.3,-1.3,-4.6,-0.2
Career,NA,,NBA,,98,1830,10.9,0.47,0.34,9,21.6,15.2,5.8,1.1,1.6,16.5,17,NA,-0.5,1.8,1.3,0.034,NA,-3.2,-0.5,-3.8,-0.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,ATL,NBA,,59,1354,11.5,0.468,0.376,8.6,23.2,15.8,6.4,1.1,1.7,NA,NA,NA,-0.4,1.4,1,0.035,NA,-3.1,-0.3,-3.5,-0.5
1 season,NA,NYK,NBA,,22,329,8.8,0.46,0.196,10.1,17.1,13.6,3.4,0.8,1.1,15.3,15.6,NA,-0.1,0.3,0.2,0.031,NA,-3.3,-1.3,-4.6,-0.2
1 season,NA,BOS,NBA,,12,131,9.5,0.485,0.313,10.1,15.4,12.7,6.2,1.4,1.6,19.2,20.1,NA,-0.1,0.1,0,0.017,NA,-4,-0.4,-4.4,-0.1
1 season,NA,HOU,NBA,,5,16,13.2,0.581,0.333,13.8,26.8,20.4,0,0,0,12.7,19.4,NA,0,0,0,0.147,NA,-4.3,-0.3,-4.6,0
