Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,NJA,ABA,C,78,NA,2626,6.3,12.9,0.494,0,0,NA,6.3,12.9,0.494,3.1,4.4,0.697,4.2,7.6,11.7,1.3,1.8,4.5,15.8
1968-69,25,TOT,ABA,C,62,NA,1399,5.7,12.4,0.455,0,0,NA,5.7,12.4,0.455,3,3.8,0.792,4.8,7.1,11.8,1.7,2.1,4.5,14.4
1968-69,25,NYA,ABA,C,25,NA,677,5.4,12.4,0.433,0,0,NA,5.4,12.4,0.433,4,4.8,0.824,4.2,7.3,11.5,1.8,2.3,4.4,14.7
1968-69,25,KEN,ABA,C,8,NA,94,2.7,8.4,0.318,0,0,NA,2.7,8.4,0.318,2.3,3.1,0.75,3.1,6.5,9.6,2.3,3.1,7.3,7.7
1968-69,25,MNP,ABA,C,29,NA,628,6.4,13.1,0.491,0,0,NA,6.4,13.1,0.491,2.1,2.9,0.74,5.6,6.9,12.5,1.5,1.7,4.1,15
Career,NA,,ABA,,140,NA,4025,6.1,12.7,0.481,0,0,NA,6.1,12.7,0.481,3,4.2,0.727,4.4,7.4,11.8,1.4,1.9,4.5,15.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"NJA,NYA",ABA,,103,NA,3303,6.1,12.8,0.482,0,0,NA,6.1,12.8,0.482,3.2,4.5,0.725,4.2,7.5,11.7,1.4,1.9,4.5,15.5
1 season,NA,MNP,ABA,,29,NA,628,6.4,13.1,0.491,0,0,NA,6.4,13.1,0.491,2.1,2.9,0.74,5.6,6.9,12.5,1.5,1.7,4.1,15
1 season,NA,KEN,ABA,,8,NA,94,2.7,8.4,0.318,0,0,NA,2.7,8.4,0.318,2.3,3.1,0.75,3.1,6.5,9.6,2.3,3.1,7.3,7.7
