,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,NJA,ABA,,17,,0,,,,15,17,,,,,,,41
1968-69,25,TOT,ABA,,14,,0,,,,7,8,,,,,,,30
1968-69,25,NYA,ABA,,10,,0,,,,7,8,,,,,,,27
1968-69,25,KEN,ABA,,2,,0,,,,3,4,,,,,,,5
1968-69,25,MNP,ABA,,14,,0,,,,5,6,,,,,,,30
Career,,,,,17,,0,,,,15,17,,,,,,,41
2 Seasons,,"NJA,NYA",ABA,,17,,0,,,,15,17,,,,,,,41
1 Season,,MNP,ABA,,14,,0,,,,5,6,,,,,,,30
1 Season,,KEN,ABA,,2,,0,,,,3,4,,,,,,,5
