Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,NJA,ABA,C,78,NA,2626,463,938,0.494,0,0,NA,463,938,0.494,0.494,223,320,0.697,303,553,856,92,131,329,1149
1968-69,25,TOT,ABA,C,62,NA,1399,220,483,0.455,0,0,NA,220,483,0.455,0.455,118,149,0.792,185,275,460,66,81,174,558
1968-69,25,NYA,ABA,C,25,NA,677,101,233,0.433,0,0,NA,101,233,0.433,0.433,75,91,0.824,79,138,217,34,43,83,277
1968-69,25,KEN,ABA,C,8,NA,94,7,22,0.318,0,0,NA,7,22,0.318,0.318,6,8,0.75,8,17,25,6,8,19,20
1968-69,25,MNP,ABA,C,29,NA,628,112,228,0.491,0,0,NA,112,228,0.491,0.491,37,50,0.74,98,120,218,26,30,72,261
Career,NA,,ABA,,140,NA,4025,683,1421,0.481,0,0,NA,683,1421,0.481,0.481,341,469,0.727,488,828,1316,158,212,503,1707
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"NJA,NYA",ABA,,103,NA,3303,564,1171,0.482,0,0,NA,564,1171,0.482,0.482,298,411,0.725,382,691,1073,126,174,412,1426
1 season,NA,MNP,ABA,,29,NA,628,112,228,0.491,0,0,NA,112,228,0.491,0.491,37,50,0.74,98,120,218,26,30,72,261
1 season,NA,KEN,ABA,,8,NA,94,7,22,0.318,0,0,NA,7,22,0.318,0.318,6,8,0.75,8,17,25,6,8,19,20
