Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Tyrone Hill,,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6,0.1
Udonis Haslem,89.6,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4,0.2
Orlando Woolridge,89.5,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,NA
Josh Smith,89.1,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0,0,NA
James Posey,88.8,10,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1,NA,NA
Brian Grant,88.5,8.7,7.7,6.3,5.9,5.3,4.9,4.8,4.7,3.5,1.6,1,0.2,NA,NA
Grant Long,88.2,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.2
Jermaine O'Neal,88.0,10.5,9,6.4,6.4,5.6,4.9,4.7,3.8,2.6,2.1,1.2,0.9,0.8,0.8
Johnny Green,87.9,9.5,8.4,5.6,5.3,5.1,5.1,3.8,3.7,2.6,2.4,2.3,1.7,1.5,1.2
Steve Mix,87.9,9.4,8.2,6.5,5.5,5.5,5.1,5.1,4.9,3.7,2.4,1.3,0.4,-0.3,NA
Danny Manning,87.7,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1,0.8,0.7,0.4
