,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,PHO,NBA,,8,15,,,,,6,9,,,16,3,,,,6,18
1970-71,23,PHO,NBA,,8,14,,,,,6,11,,,15,5,,,,6,16
1971-72,24,PHO,NBA,,8,13,,,,,5,6,,,22,4,,,,,19
1972-73,25,PHO,NBA,,11,22,,,,,6,7,,,23,4,,,,6,22
1973-74,26,PHO,NBA,,6,11,,,,,4,6,6,12,15,4,2,,,6,14
1974-75,27,NOJ,NBA,,5,,,,,,4,7,,,18,,,,,,10
1974-75,27,VIR,ABA,,8,,0,,,,4,5,,,,,,,,,18
Career,,,TOT,,11,,,,,,6,11,,,,,,,,,22
,,,NBA,,11,,,,,,6,11,,,23,,,,,,22
,,,ABA,,8,,0,,,,4,5,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,PHO,NBA,,11,22,,,,,6,11,,,23,5,,,,,22
1 Season,,VIR,ABA,,8,,0,,,,4,5,,,,,,,,,18
1 Season,,NOJ,NBA,,5,,,,,,4,7,,,18,,,,,,10
