Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Lamar Green,,2.4,2,1.9,0.5,0.4,0.2
Dorie Murrey,87.2,2.2,1.9,1.6,0.5,0.2,0.1
Ronald Thomas,83.9,2.7,2,1.8,0.8,NA,NA
Justin Holiday,81.0,2.5,2.1,1.7,1.3,0.6,-0.1
Willie Burton,80.9,2.6,2.1,2,1.6,0.5,0.1
Steve Kuberski,80.8,2.6,1.7,1.7,1.2,0.6,0.2
George Lee,80.3,2.6,1.7,1.2,0.6,0.4,0.1
Shabazz Muhammad,80.3,2.7,2.7,2,0.7,0.3,NA
Jud Buechler,80.2,2.3,1.8,1.5,1.2,0.5,0.4
Wesley Johnson,80.2,2.6,1.9,1.7,1.3,0.6,0
Richard Anderson,79.4,2.3,2.1,1.3,1,0.5,0.5
