Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Lamar Green,,2.4,2,1.9,0.5,0.4,0.2,NA,NA
Dorie Murrey,87.2,2.2,1.9,1.6,0.5,0.2,0.1,NA,NA
Ronald Thomas,83.9,2.7,2,1.8,0.8,NA,NA,NA,NA
Justin Holiday,81.0,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA
Shabazz Muhammad,80.3,2.7,2.7,2,0.7,0.3,NA,NA,NA
Willie Burton,80.0,2.6,2.1,2,1.6,0.5,0.2,0.1,-0.1
Richard Anderson,79.4,2.3,2.1,1.3,1,0.5,0.5,NA,NA
Bruce Seals,79.3,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
George Lee,79.1,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA
George Adams,78.5,2.3,2.2,2.2,NA,NA,NA,NA,NA
Mark Acres,78.2,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA
