Season,Team,Lg,Salary
1991-92,Indiana Pacers,NBA,"$430,000"
1992-93,Indiana Pacers,NBA,"$559,000"
1993-94,Indiana Pacers,NBA,"$688,000"
1994-95,Indiana Pacers,NBA,"$4,050,000"
1995-96,Indiana Pacers,NBA,"$4,050,000"
1996-97,Indiana Pacers,NBA,"$6,508,000"
1997-98,Indiana Pacers,NBA,"$5,273,333"
1998-99,Indiana Pacers,NBA,"$4,038,000"
1999-00,Indiana Pacers,NBA,"$4,490,000"
2000-01,Portland Trail Blazers,NBA,"$6,000,000"
2001-02,Portland Trail Blazers,NBA,"$7,010,000"
2002-03,Portland Trail Blazers,NBA,"$8,055,000"
2003-04,Portland Trail Blazers,NBA,"$9,061,875"
2004-05,Golden State Warriors,NBA,"$10,068,750"
2005-06,Detroit Pistons,NBA,"$3,500,000"
2006-07,Detroit Pistons,NBA,"$3,500,000"
Career,(may be incomplete),,"$77,281,958"
