Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Rudy Macklin,,1.8,1.4,0.1,NA
Joel Freeland,88.4,1.6,1.4,0.2,NA
Jon Brockman,86.7,1.9,1.7,0.1,NA
Kenny Battle,86.3,1.9,1.3,0.3,0.1
Mickaël Gelabale,85.8,1.5,1.3,0.2,NA
Derrick Chievous,82.2,1.6,1.2,-0.1,NA
Jim Bradley,81.1,2.3,1.3,0.1,NA
Derrick Alston,80.4,1.7,1,-0.1,NA
Hank Whitney,79.5,1.8,1.1,0.5,NA
Skal Labissière,76.2,1.4,1.3,0.3,NA
Jan Veselý,75.4,1.7,1.6,0.7,NA
