,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,TOT,ABA,,13,,1,,,,9,11,,,,,,,29
1967-68,22,PTP,ABA,,13,,1,,,,6,7,,,,,,,28
1967-68,22,NJA,ABA,,10,,0,,,,9,11,,,,,,,29
1967-68,22,OAK,ABA,,10,,1,,,,9,10,,,,,,,28
Career,,,,,13,,1,,,,9,11,,,,,,,29
1 Season,,OAK,ABA,,10,,1,,,,9,10,,,,,,,28
1 Season,,NJA,ABA,,10,,0,,,,9,11,,,,,,,29
1 Season,,PTP,ABA,,13,,1,,,,6,7,,,,,,,28
