,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2010-11,23,IND,NBA,PF,5,79,.333,6.6,.958,.500,.250,.042,.167,.042,.348,.417,.333,.000,.250,.000,.500,.000,0,,.000,,0,0
2011-12,24,LAL,NBA,PF,6,16,.250,13.0,.750,.250,.000,.500,.000,.250,.333,1.000,,.000,,.000,1.000,.250,1,,1.000,.000,0,0
2013-14,26,CHA,NBA,PF,4,154,.455,16.2,.485,.303,.030,.061,.091,.515,.438,.600,.000,.000,.333,.471,.571,.121,4,.875,.294,.200,0,0
2015-16,28,MIA,NBA,PF,10,134,.471,11.1,.794,.206,.353,.118,.118,.206,.593,.857,.500,.500,.500,.000,.500,.029,1,,.286,.000,0,0
Career,,,NBA,,25,383,.421,11.8,.726,.316,.200,.095,.116,.274,.464,.600,.421,.222,.364,.308,.531,.063,6,.875,.308,.125,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,MIA,NBA,,10,134,.471,11.1,.794,.206,.353,.118,.118,.206,.593,.857,.500,.500,.500,.000,.500,.029,1,,.286,.000,0,0
1 season,,LAL,NBA,,6,16,.250,13.0,.750,.250,.000,.500,.000,.250,.333,1.000,,.000,,.000,1.000,.250,1,,1.000,.000,0,0
1 season,,IND,NBA,,5,79,.333,6.6,.958,.500,.250,.042,.167,.042,.348,.417,.333,.000,.250,.000,.500,.000,0,,.000,,0,0
1 season,,CHA,NBA,,4,154,.455,16.2,.485,.303,.030,.061,.091,.515,.438,.600,.000,.000,.333,.471,.571,.121,4,.875,.294,.200,0,0
