Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Josh McRoberts,,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0
Ben Warley,86.2,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,NA,NA,NA
John Williams,81.5,6.9,5,3.5,1.9,1.3,1,0.8,-0.5,NA,NA,NA
Jason Maxiell,81.1,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,NA
Albert King,78.4,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1,NA,NA
Larry Krystkowiak,77.9,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA,NA
Tyler Zeller,77.5,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA
Buck Johnson,77.0,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
J.J. Hickson,76.9,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA,NA,NA
Travis Outlaw,76.9,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0,-0.1
Pervis Ellison,75.4,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
