Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jeff Ayres,,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA
Rory White,87.1,2.6,1.5,1,1,0.4,NA,NA,NA,NA
Al Thornton,83.4,2.2,1.6,1.3,1.1,NA,NA,NA,NA,NA
Kevin Séraphin,82.7,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA,NA
George Lee,81.3,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA
Richard Anderson,78.9,2.3,2.1,1.3,1,0.5,0.5,NA,NA,NA
Chris Crawford,78.9,2.7,1.3,0.9,0.6,0.6,0.2,0.1,NA,NA
Ike Diogu,78.9,2.6,1.5,1,0.7,0.7,0,NA,NA,NA
Bob Brannum,78.8,2,1.6,1.1,0.8,0,NA,NA,NA,NA
Michael Ruffin,78.6,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
James Hardy,78.5,2.5,1.8,1.3,0.7,NA,NA,NA,NA,NA
