Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jeff Ayres,,2.4,1.3,1.2,1,0.3,0.2
Rory White,87.1,2.6,1.5,1,1,0.4,NA
Scott Hastings,86.8,2.1,1.3,1,0.8,0.4,0.1
Al Thornton,83.4,2.2,1.6,1.3,1.1,NA,NA
George Lee,82.7,2.6,1.7,1.2,0.6,0.4,0.1
Richard Anderson,78.9,2.3,2.1,1.3,1,0.5,0.5
Charles Davis,78.9,2.1,1.5,1,0.9,0.3,-0.3
Ike Diogu,78.9,2.6,1.5,1,0.7,0.7,0
Bob Brannum,78.8,2,1.6,1.1,0.8,0,NA
Sam Mack,78.7,2.8,1.9,1.3,1.1,0.3,0
James Hardy,78.5,2.5,1.8,1.3,0.7,NA,NA
