Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Cristiano Felício,,3.4,1.7,1.4,1.2
Danny Ferry,93.6,3.6,1.7,1.3,1
J.R. Reid,89.8,3.4,2.1,1.8,1.1
Simmie Hill,89.1,3.1,1.6,1.2,1
Brad Lohaus,88.6,3.3,1.8,0.9,0.9
Brandan Wright,88.5,3.5,1.9,1.1,0.8
George Lynch,87.6,3.9,1.7,1.5,0.9
Trevor Ariza,87.4,3.4,2.1,1.8,0.9
Bingo Smith,86.1,3.3,2.4,1.6,1.1
Mark Alarie,85.9,3.1,2.2,1.5,0.9
Ryan Bowen,85.7,3.1,2.1,1.7,1.4
