Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
T.J. McConnell,,3.8,3.8,2.9,1.9
Kelvin Ransey,97.0,3.8,3.7,2.8,2.2
Daniel Gibson,94.8,4.1,3.8,2.6,2
Jalen Rose,94.4,3.8,3.3,2.9,2.1
Dana Barros,91.9,3.6,3.5,2.5,1.8
Jamaal Tinsley,91.9,4.4,3.7,2.8,1.7
Bradley Beal,91.8,4,3.7,3,2.7
Bob Harrison,91.6,3.5,3.3,2.9,2.2
Speedy Claxton,90.3,4.2,3.7,2.8,1.2
Skeeter Swift,90.1,4.3,3.4,2.7,1.8
Joe Hamilton,89.3,4.1,2.9,2.9,2.2
