Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
T.J. McConnell,,3.8,3.8,2.9,1.9,NA,NA,NA
Skeeter Swift,89.8,4.3,3.4,2.7,1.8,0,NA,NA
Greivis Vásquez,89.0,3.8,3.6,2.8,2.3,0.5,0,-0.3
Joe Hamilton,87.0,4.1,2.9,2.9,2.2,0.2,0.2,NA
Oliver Taylor,86.9,3.9,3.8,2.8,0.4,NA,NA,NA
Whitey Skoog,85.6,4.1,3.6,2.9,1.9,1,0.7,NA
Otis Smith,84.7,3.6,3.5,3.3,2.5,-0.2,-0.4,NA
Bill Gabor,83.0,3.5,2.9,2.8,1.5,0.5,0,NA
Billy Kenville,83.0,4.5,3.9,3,1.4,0.5,0.4,NA
Pablo Prigioni,83.0,3.4,3.2,2.3,1.5,NA,NA,NA
Charles Dudley,82.1,4.6,4,3.6,1.6,0.2,-0.1,NA
