,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,23,PHI,NBA,PG,81,1606,92%,8%,,,,-8.1,+4.3,72,53,55,2,10,10,888,3,24
2016-17,24,PHI,NBA,PG,81,2133,99%,1%,,,,-6.6,-1.3,106,32,73,3,21,18,1272,7,29
2017-18,25,PHI,NBA,PG,76,1706,99%,1%,,,,-1.6,-11.1,66,16,58,4,9,12,726,3,30
2018-19,26,PHI,NBA,PG,76,1470,99%,1%,,,,+0.1,-4.4,50,28,47,2,15,10,615,5,19
2019-20,27,IND,NBA,PG,63,1188,60%,40%,,,,+2.2,-0.2,40,26,31,3,17,18,759,6,18
Career,,,NBA,,377,8103,92%,8%,,,,-3.3,-2.7,334,155,264,14,72,68,4260,24,120
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,314,6915,98%,2%,,,,-4.3,-3.1,294,129,233,11,55,50,3501,18,102
1 season,,IND,NBA,,63,1188,60%,40%,,,,+2.2,-0.2,40,26,31,3,17,18,759,6,18
