Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Shelden Williams,,2.2,2.1,2,1.9,1.2,0.5
Mark Acres,87.5,2.5,2.2,1.9,1.6,0.9,0.3
Robert Traylor,84.7,2.5,2.5,2.4,1.9,1.2,1
Earl Cureton,83.8,2.6,2.1,2,1.2,1,0.8
Jason Smith,83.6,2.2,1.7,1.6,1.5,0.9,0.7
Willie Burton,82.6,2.6,2.1,2,1.6,0.5,0.1
Chucky Brown,82.0,2.2,2.2,2.1,1.6,0.3,0
Omri Casspi,81.1,2.7,2.5,2.5,2.4,1.2,0.7
Mark Bryant,80.8,3.2,2.3,2.1,2.1,1.1,1
Rasual Butler,80.8,2.6,1.7,1.7,1.6,1.2,0.1
Jarvis Hayes,80.1,2.9,2.1,1.7,1.5,0.7,0.5
