Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Erwin Mueller,,3.5,3.2,2.5,0.9,0.6,-0.1,-0.5,-0.8
Brad Sellers,76.6,3.3,3.3,2.6,0.4,0.2,0,NA,NA
Willie Sojourner,72.1,3.5,3,2.4,1.9,NA,NA,NA,NA
Miles Plumlee,71.6,4,2.6,2.2,0.9,0.5,0.5,0,NA
George Peeples,71.1,4.1,3.2,2.1,1.5,0.2,0,NA,NA
Boban Marjanović,68.4,3.4,3,1.7,1.5,NA,NA,NA,NA
Chris Mihm,68.4,4,3.6,2.9,1.3,0.9,0.7,0.1,0
Ekpe Udoh,68.3,3.2,2.7,2.1,1.6,0.7,0.3,0,NA
Bob Hopkins,67.9,3.5,2.7,1.9,1.4,NA,NA,NA,NA
Steven Hunter,67.9,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1
Travis Knight,67.2,3.3,3,1.1,0.6,0.2,-0.1,-0.3,NA
