,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,CHI,NBA,,13,26,,,,,8,12,,,15,5,,,,6,31
1967-68,23,TOT,NBA,,9,17,,,,,6,8,,,11,7,,,,6,21
1967-68,23,CHI,NBA,,9,17,,,,,5,7,,,11,7,,,,6,21
1967-68,23,LAL,NBA,,7,15,,,,,6,8,,,10,6,,,,6,16
1968-69,24,TOT,NBA,,5,,,,,,5,9,,,,,,,,,15
1968-69,24,CHI,NBA,,4,10,,,,,5,9,,,12,11,,,,6,10
1968-69,24,SEA,NBA,,5,,,,,,5,6,,,,,,,,,15
1969-70,25,TOT,NBA,,11,,,,,,10,12,,,,,,,,,24
1969-70,25,SEA,NBA,,5,,,,,,3,5,,,,,,,,,11
1969-70,25,DET,NBA,,11,,,,,,10,12,,,,,,,,,24
1970-71,26,DET,NBA,,9,,,,,,6,8,,,,,,,,,23
1971-72,27,DET,NBA,,6,,,,,,5,7,,,,,,,,,16
1972-73,28,DET,NBA,,3,,,,,,2,3,,,,,,,,,6
1972-73,28,VIR,ABA,,7,,0,,,,1,2,,,,,,,,,15
1973-74,29,MMT,ABA,,0,,0,,,,2,3,,,,,,,,,2
Career,,,TOT,,13,,,,,,10,12,,,,,,,,,31
,,,NBA,,13,,,,,,10,12,,,,,,,,,31
,,,ABA,,7,,0,,,,2,3,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,DET,NBA,,11,,,,,,10,12,,,,,,,,,24
3 Seasons,,CHI,NBA,,13,26,,,,,8,12,,,15,11,,,,6,31
1 Season,,LAL,NBA,,7,15,,,,,6,8,,,10,6,,,,6,16
2 Seasons,,SEA,NBA,,5,,,,,,5,6,,,,,,,,,15
1 Season,,VIR,ABA,,7,,0,,,,1,2,,,,,,,,,15
1 Season,,MMT,ABA,,0,,0,,,,2,3,,,,,,,,,2
