,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,CHI,NBA,,4,13,,,,,6,8,,,6,7,,,,4,12
1967-68,23,TOT,NBA,,4,,,,,,2,4,,,,,,,,,9
1967-68,23,LAL,NBA,,4,,,,,,2,4,,,,,,,,,9
1972-73,28,VIR,ABA,,1,,1,,,,4,5,,,,,,,,,6
Career,,,TOT,,4,,,,,,6,8,,,,,,,,,12
,,,NBA,,4,,,,,,6,8,,,,,,,,,12
,,,ABA,,1,,1,,,,4,5,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,
1 Season,,LAL,NBA,,4,,,,,,2,4,,,,,,,,,9
1 Season,,VIR,ABA,,1,,1,,,,4,5,,,,,,,,,6
1 Season,,CHI,NBA,,4,13,,,,,6,8,,,6,7,,,,4,12
