Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1969-70,22,SEA,NBA,PG,81,1817,13.7,0.495,0.36,NA,NA,NA,24.5,NA,NA,NA,NA,NA,1.2,1,2.2,0.059,NA,NA,NA,NA,NA
1970-71,23,MIL,NBA,PG,61,1162,12.2,0.485,0.276,NA,NA,6.2,16.3,NA,NA,NA,NA,NA,0.7,1.2,1.9,0.078,NA,NA,NA,NA,NA
1971-72,24,MIL,NBA,PG,80,2316,15.9,0.547,0.296,NA,NA,5.3,18.6,NA,NA,NA,NA,NA,4.8,2.8,7.6,0.157,NA,NA,NA,NA,NA
1972-73,25,MIL,NBA,PG,80,2693,16,0.508,0.177,NA,NA,5,21.1,NA,NA,NA,NA,NA,3.8,3.8,7.6,0.135,NA,NA,NA,NA,NA
1973-74,26,MIL,NBA,PG,72,2388,18.8,0.536,0.258,4.1,8.1,6.2,21.7,2.6,0.5,NA,NA,NA,4.7,3.4,8.2,0.164,NA,1.6,1,2.5,2.7
1974-75,27,TOT,NBA,PG,66,2353,17.5,0.483,0.262,3.7,7.6,5.7,24.6,2.6,0.6,NA,NA,NA,2,1.7,3.6,0.074,NA,0.6,-0.2,0.4,1.4
1974-75,27,MIL,NBA,PG,10,342,15.7,0.463,0.226,2.8,6.5,4.7,23.1,1.9,0.2,NA,NA,NA,0.2,0.2,0.4,0.059,NA,-0.2,-1,-1.2,0.1
1974-75,27,LAL,NBA,PG,56,2011,17.8,0.486,0.267,3.9,7.8,5.9,24.9,2.7,0.7,NA,NA,NA,1.8,1.4,3.2,0.077,NA,0.7,0,0.7,1.4
1975-76,28,LAL,NBA,PG,76,2388,15.1,0.501,0.253,2.7,5.8,4.3,21.1,1.9,0.4,NA,NA,NA,2.4,1.5,3.9,0.079,NA,-0.4,-0.8,-1.2,0.5
1976-77,29,LAL,NBA,PG,78,2482,15.6,0.497,0.243,2.4,7.7,5.2,22.2,2.1,0.4,NA,NA,NA,2.8,2.1,4.9,0.094,NA,0.3,-0.3,0,1.2
1977-78,30,KCK,NBA,PG,77,2147,13.3,0.488,0.26,3.1,7.8,5.5,22.8,1.9,0.7,18.7,20.6,NA,0.7,1.4,2.1,0.046,NA,-0.3,-0.7,-1,0.6
1978-79,31,KCK,NBA,PG,31,413,8.7,0.416,0.19,3.6,8.6,6.1,13.6,2.3,0.8,13.7,20.3,NA,-0.4,0.5,0.1,0.007,NA,-3.7,0.4,-3.3,-0.1
Career,NA,,NBA,,702,20159,15.5,0.504,0.257,3.2,7.4,5.4,21.5,2.2,0.5,17.9,20.5,NA,22.6,19.4,42,0.1,NA,0.2,-0.2,0.1,6.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIL,NBA,,303,8901,16.2,0.521,0.243,3.9,7.9,5.5,20.1,2.5,0.4,NA,NA,NA,14.2,11.4,25.6,0.138,NA,1.4,0.7,2.1,2.8
3 seasons,NA,LAL,NBA,,210,6881,16.1,0.495,0.255,2.9,7.1,5.1,22.6,2.2,0.5,NA,NA,NA,7,5,12,0.084,NA,0.2,-0.4,-0.2,3.1
2 seasons,NA,KCK,NBA,,108,2560,12.6,0.476,0.248,3.2,7.9,5.6,21.4,2,0.7,17.9,20.5,NA,0.3,1.9,2.1,0.04,NA,-0.9,-0.5,-1.4,0.4
1 season,NA,SEA,NBA,,81,1817,13.7,0.495,0.36,NA,NA,NA,24.5,NA,NA,NA,NA,NA,1.2,1,2.2,0.059,NA,NA,NA,NA,NA
