Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,SEA,NBA,PG,81,NA,22.4,3.8,8.5,0.442,2.2,3.1,0.731,NA,NA,2.6,4.2,NA,NA,NA,2.5,9.8
1970-71,23,MIL,NBA,PG,61,NA,19,2.9,6.5,0.447,1.3,1.8,0.7,NA,NA,2.5,2.6,NA,NA,NA,1.8,7.1
1971-72,24,MIL,NBA,PG,80,NA,29,5.5,10.9,0.505,2.5,3.2,0.764,NA,NA,3.2,4.2,NA,NA,NA,2.7,13.5
1972-73,25,MIL,NBA,PG,80,NA,33.7,6.8,14.1,0.484,1.8,2.5,0.715,NA,NA,3.5,5.3,NA,NA,NA,2.4,15.5
1973-74,26,MIL,NBA,PG,72,NA,33.2,7.3,14.8,0.495,3,3.8,0.788,1.2,2.8,4,5.2,1.9,0.3,NA,3,17.6
1974-75,27,TOT,NBA,PG,66,NA,35.7,7.7,17.7,0.437,3.6,4.6,0.778,1.4,2.8,4.2,5.6,2.1,0.4,NA,3.3,19.1
1974-75,27,MIL,NBA,PG,10,NA,34.2,6.8,16.4,0.415,3.1,3.7,0.838,0.9,2.2,3.1,5.3,1.4,0.1,NA,2.3,16.7
1974-75,27,LAL,NBA,PG,56,NA,35.9,7.9,18,0.44,3.7,4.8,0.77,1.4,3,4.4,5.7,2.2,0.5,NA,3.5,19.5
1975-76,28,LAL,NBA,PG,76,NA,31.4,6.1,13.2,0.459,2.6,3.3,0.776,0.8,2,2.8,4.7,1.3,0.3,NA,3.2,14.7
1976-77,29,LAL,NBA,PG,78,NA,31.8,6.1,13.3,0.456,2.5,3.2,0.774,0.7,2.5,3.2,5.2,1.5,0.2,NA,2.3,14.6
1977-78,30,KCK,NBA,PG,77,NA,27.9,4.8,11,0.441,2.3,2.9,0.791,0.9,2.1,3,4.7,1.2,0.4,2.8,2.3,11.9
1978-79,31,KCK,NBA,PG,31,NA,13.3,2.2,5.6,0.397,0.6,1.1,0.576,0.5,1,1.5,1.4,0.7,0.2,1,1.7,5.1
Career,NA,,NBA,,702,NA,28.7,5.5,11.9,0.463,2.3,3.1,0.76,1,2.3,3.1,4.5,1.5,0.3,2.3,2.6,13.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIL,NBA,,303,NA,29.4,5.8,12,0.485,2.2,2.9,0.756,1.2,2.7,3.3,4.4,1.8,0.3,NA,2.5,13.8
3 seasons,NA,LAL,NBA,,210,NA,32.8,6.6,14.5,0.452,2.9,3.7,0.773,1,2.4,3.4,5.1,1.6,0.3,NA,2.9,16
2 seasons,NA,KCK,NBA,,108,NA,23.7,4.1,9.4,0.433,1.8,2.3,0.763,0.7,1.8,2.5,3.7,1.1,0.3,2.3,2.1,10
1 season,NA,SEA,NBA,,81,NA,22.4,3.8,8.5,0.442,2.2,3.1,0.731,NA,NA,2.6,4.2,NA,NA,NA,2.5,9.8
