Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1970-71,23,MIL,NBA,PG,14,312,14.5,0.547,0.346,NA,NA,6,20.7,NA,NA,NA,NA,NA,0.6,0.5,1.1,0.168,NA,NA,NA,NA,NA
1971-72,24,MIL,NBA,PG,11,386,16.2,0.519,0.325,NA,NA,4.3,14.8,NA,NA,NA,NA,NA,0.7,0.6,1.3,0.162,NA,NA,NA,NA,NA
1972-73,25,MIL,NBA,PG,6,203,13.9,0.464,0.315,NA,NA,4.1,15.3,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.071,NA,NA,NA,NA,NA
1976-77,29,LAL,NBA,PG,7,186,13.6,0.426,0.232,3.9,13.7,8.9,19.1,2.7,0.8,NA,NA,NA,-0.1,0.2,0.1,0.019,NA,-1.9,0.1,-1.8,0
1978-79,31,KCK,NBA,PG,5,73,12.2,0.52,0.188,2.5,7.9,4.9,7,1.2,0.8,12.6,20.4,NA,0.1,0.1,0.1,0.084,NA,-0.5,-0.8,-1.3,0
Career,NA,,NBA,,43,1160,14.7,0.497,0.3,3.5,12.1,5.5,16.7,2.3,0.8,12.6,20.4,NA,1.3,1.6,2.9,0.12,NA,-1.5,-0.1,-1.6,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIL,NBA,,31,901,15.1,0.511,0.327,NA,NA,4.8,17,NA,NA,NA,NA,NA,1.4,1.3,2.7,0.143,NA,NA,NA,NA,NA
1 season,NA,LAL,NBA,,7,186,13.6,0.426,0.232,3.9,13.7,8.9,19.1,2.7,0.8,NA,NA,NA,-0.1,0.2,0.1,0.019,NA,-1.9,0.1,-1.8,0
1 season,NA,KCK,NBA,,5,73,12.2,0.52,0.188,2.5,7.9,4.9,7,1.2,0.8,12.6,20.4,NA,0.1,0.1,0.1,0.084,NA,-0.5,-0.8,-1.3,0
