Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lucius Allen,,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1
John Wall,91.2,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA
Eddie Johnson,90.1,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8
B.J. Armstrong,89.7,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7
Latrell Sprewell,88.2,8.1,8,6.6,5.5,5.1,4,3,2.8,2,0.4
Jerry Stackhouse,87.8,9.2,7.3,6.5,5.8,4.7,3.5,2.1,1.9,1.2,0.2
Brian Taylor,87.6,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1
Steve Kerr,87.5,8.3,7.5,6.1,5.9,3.8,3.2,2.4,1.3,0.6,0.4
Avery Johnson,87.1,9.1,8,6.7,5.2,4.1,3.4,1.6,1.3,0.5,0.3
Michael Adams,87.0,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,-0.1
Phil Smith,86.2,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA
