Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Lucius Allen,,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,NA,NA
John Wall,91.2,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA,NA
Eddie Johnson,90.1,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA
B.J. Armstrong,89.2,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7,0.4,NA
Brian Taylor,87.6,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA,NA
Phil Smith,86.2,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA,NA
Michael Adams,86.1,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA
Jon McGlocklin,85.5,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,NA
Otis Birdsong,85.2,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6,0,-0.1,-0.1
Charlie Scott,85.2,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4,1.9,-1.4,NA,NA
Jay Humphries,85.0,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2,1.9,1.8,-0.4,NA
