Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,SEA,NBA,PG,81,NA,1817,6.1,13.7,0.442,3.6,4.9,0.731,NA,NA,4.2,6.8,NA,NA,NA,4,15.7
1970-71,23,MIL,NBA,PG,61,NA,1162,5.5,12.3,0.447,2.4,3.4,0.7,NA,NA,4.7,5,NA,NA,NA,3.3,13.4
1971-72,24,MIL,NBA,PG,80,NA,2316,6.9,13.6,0.505,3.1,4,0.764,NA,NA,3.9,5.2,NA,NA,NA,3.3,16.8
1972-73,25,MIL,NBA,PG,80,NA,2693,7.3,15.1,0.484,1.9,2.7,0.715,NA,NA,3.7,5.7,NA,NA,NA,2.5,16.5
1973-74,26,MIL,NBA,PG,72,NA,2388,7.9,16,0.495,3.3,4.1,0.788,1.3,3,4.4,5.6,2.1,0.3,NA,3.2,19.1
1974-75,27,TOT,NBA,PG,66,NA,2353,7.8,17.9,0.437,3.6,4.7,0.778,1.4,2.9,4.3,5.7,2.1,0.4,NA,3.3,19.3
1974-75,27,MIL,NBA,PG,10,NA,342,7.2,17.3,0.415,3.3,3.9,0.838,0.9,2.3,3.3,5.6,1.5,0.1,NA,2.4,17.6
1974-75,27,LAL,NBA,PG,56,NA,2011,7.9,18,0.44,3.7,4.8,0.77,1.5,3,4.4,5.7,2.2,0.5,NA,3.5,19.6
1975-76,28,LAL,NBA,PG,76,NA,2388,6.9,15.1,0.459,3,3.8,0.776,1,2.3,3.2,5.4,1.5,0.3,NA,3.6,16.9
1976-77,29,LAL,NBA,PG,78,NA,2482,6.8,15,0.456,2.8,3.7,0.774,0.8,2.8,3.6,5.9,1.7,0.3,NA,2.7,16.5
1977-78,30,KCK,NBA,PG,77,NA,2147,6.3,14.2,0.441,2.9,3.7,0.791,1.1,2.7,3.8,6,1.6,0.5,3.6,3,15.4
1978-79,31,KCK,NBA,PG,31,NA,413,6,15.2,0.397,1.7,2.9,0.576,1.2,2.8,4,3.8,1.8,0.5,2.6,4.5,13.7
Career,NA,,NBA,,702,NA,20159,6.9,15,0.463,2.9,3.9,0.76,1.1,2.7,3.9,5.7,1.8,0.4,3.5,3.2,16.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIL,NBA,,303,NA,8901,7.1,14.7,0.485,2.7,3.6,0.756,1.3,3,4.1,5.4,2,0.3,NA,3,16.9
3 seasons,NA,LAL,NBA,,210,NA,6881,7.2,15.9,0.452,3.1,4.1,0.773,1.1,2.7,3.7,5.7,1.8,0.4,NA,3.2,17.5
2 seasons,NA,KCK,NBA,,108,NA,2560,6.2,14.3,0.433,2.7,3.6,0.763,1.1,2.7,3.9,5.7,1.6,0.5,3.5,3.3,15.1
1 season,NA,SEA,NBA,,81,NA,1817,6.1,13.7,0.442,3.6,4.9,0.731,NA,NA,4.2,6.8,NA,NA,NA,4,15.7
