Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,23,MIL,NBA,PG,14,NA,22.3,2.9,5.8,0.506,1.4,2,0.714,NA,NA,2.9,3.7,NA,NA,NA,2.1,7.3
1971-72,24,MIL,NBA,PG,11,NA,35.1,7.1,15.1,0.47,3.7,4.9,0.759,NA,NA,3.5,3.8,NA,NA,NA,2.7,17.9
1972-73,25,MIL,NBA,PG,6,NA,33.8,6,14.8,0.404,3.7,4.7,0.786,NA,NA,2.7,3.5,NA,NA,NA,2.5,15.7
1976-77,29,LAL,NBA,PG,7,NA,26.6,4.6,11.7,0.39,1.9,2.7,0.684,1,3.6,4.6,3.4,1.6,0.4,NA,2.6,11
1978-79,31,KCK,NBA,PG,5,NA,14.6,3,6.4,0.469,1.2,1.2,1,0.4,1,1.4,0.6,0.4,0.2,1,1.4,7.2
Career,NA,,NBA,,43,NA,27,4.7,10.5,0.449,2.4,3.1,0.756,0.8,2.5,3.1,3.3,1.1,0.3,1,2.3,11.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIL,NBA,,31,NA,29.1,5,10.8,0.461,2.7,3.5,0.755,NA,NA,3,3.7,NA,NA,NA,2.4,12.7
1 season,NA,LAL,NBA,,7,NA,26.6,4.6,11.7,0.39,1.9,2.7,0.684,1,3.6,4.6,3.4,1.6,0.4,NA,2.6,11
1 season,NA,KCK,NBA,,5,NA,14.6,3,6.4,0.469,1.2,1.2,1,0.4,1,1.4,0.6,0.4,0.2,1,1.4,7.2
