Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ömer Aşık,,5.5,5,2.7,2.6,2.4,1.7,1,-0.1
Kevin Kunnert,87.9,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2
Felton Spencer,86.4,5.6,4.7,2.4,2,2,1.3,1.1,0.9
Dennis Awtrey,85.9,5.2,5,3.1,2.1,1.8,1.4,1,1
Randy Breuer,85.7,5.1,4.5,3,2.4,2,1,0.9,0.3
Benoit Benjamin,85.1,5.4,5.1,4,3,2.2,2,1.1,0.9
Otto Moore,85.1,5,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Bismack Biyombo,83.2,5.9,4,3.2,2.9,2.9,2,1.4,0.6
John Gianelli,83.2,5.5,4.4,3.6,3.2,3,2.5,1.2,-0.4
John Henson,83.0,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA
Blair Rasmussen,82.6,5.2,4.2,3.3,3,1.8,1.7,0,-0.1
