Season,Team,Lg,Salary
1990-91,Portland Trail Blazers,NBA,"$250,000"
1991-92,Portland Trail Blazers,NBA,"$474,000"
1992-93,Portland Trail Blazers,NBA,"$1,665,000"
1993-94,Portland Trail Blazers,NBA,"$2,336,000"
1994-95,Portland Trail Blazers,NBA,"$2,732,000"
1995-96,Portland Trail Blazers,NBA,"$3,018,000"
1996-97,Portland Trail Blazers,NBA,"$2,924,000"
1997-98,Phoenix Suns,NBA,"$1,000,000"
1998-99,Phoenix Suns,NBA,"$3,500,000"
1999-00,Phoenix Suns,NBA,"$6,125,000"
2000-01,Phoenix Suns,NBA,"$6,890,000"
2001-02,Detroit Pistons,NBA,"$7,656,250"
2002-03,Detroit Pistons,NBA,"$8,421,875"
2003-04,Golden State Warriors,NBA,"$4,700,000"
2004-05,Golden State Warriors,NBA,"$5,287,500"
2005-06,New Jersey Nets,NBA,"$2,500,000"
2006-07,New Jersey Nets,NBA,"$1,600,000"
2007-08,New Jersey Nets,NBA,"$500,000"
Career,(may be incomplete),,"$61,579,625"
