Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
J.J. Hickson,,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8
Alan Henderson,87.0,6,4.3,3.1,2.6,2,1.9,1.3,0.7
Andrés Nocioni,85.6,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2
Markieff Morris,85.4,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5
John Williams,84.6,6.9,5,3.5,1.9,1.3,1,0.8,-0.5
Adam Keefe,83.5,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.4
Jason Maxiell,83.5,6.3,4.1,2.6,1.8,1.8,1.7,0.5,-0.2
Buck Johnson,83.2,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA
Bison Dele,83.1,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2
Chris Wilcox,82.5,6,4.4,3.4,2.6,1.3,1.1,0.6,0.2
Pervis Ellison,82.4,6.9,4,3.9,2.6,1.8,0.7,0.4,0
