Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
J.J. Hickson,,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA,NA,NA
Jason Maxiell,88.0,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,NA
Pervis Ellison,85.8,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
Andrés Nocioni,85.6,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA
Markieff Morris,85.4,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA
John Williams,84.6,6.9,5,3.5,1.9,1.3,1,0.8,-0.5,NA,NA,NA
Buck Johnson,83.2,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
Bison Dele,83.1,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA
Adam Keefe,83.1,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA
Donald Royal,79.6,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA
Lamond Murray,79.4,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
