,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2008-09,20,CLE,NBA,C,62,705,,,,12%,88%,-5.1,-18.8,13,11,44,4,32,0,22,11,29
2009-10,21,CLE,NBA,PF,81,1691,,,,72%,28%,+2.3,-9.0,15,38,64,15,86,2,95,21,64
2010-11,22,CLE,NBA,C,80,2256,,,,40%,60%,-11.9,-5.7,39,59,96,28,176,4,207,40,111
2011-12,23,TOT,NBA,PF,54,1244,,,6%,78%,17%,-8.8,-6.4,15,26,41,11,67,4,114,14,30
2011-12,23,SAC,NBA,PF,35,644,,,11%,85%,4%,-10.1,-5.0,10,14,19,7,27,1,56,4,15
2011-12,23,POR,NBA,PF,19,600,,,,70%,30%,-7.4,-7.7,5,12,22,4,40,3,58,10,15
2012-13,24,POR,NBA,C,80,2323,,,,7%,93%,-5.0,-3.3,42,49,75,18,129,4,212,33,71
2013-14,25,DEN,NBA,PF,69,1859,,,,18%,82%,-5.3,-5.9,34,33,63,30,136,8,229,28,63
2014-15,26,DEN,NBA,C,73,1411,,,,37%,63%,-7.3,-5.3,35,24,64,20,99,2,140,15,56
2015-16,27,TOT,NBA,C,35,436,,,,4%,96%,-7.2,-5.8,8,7,18,6,50,0,54,7,15
2015-16,27,DEN,NBA,C,20,305,,,,2%,98%,-6.7,-3.9,8,2,14,6,30,0,35,3,10
2015-16,27,WAS,NBA,C,15,131,,,,9%,91%,-8.3,-8.2,0,5,4,0,20,0,19,4,5
Career,,,NBA,,534,11925,,,1%,35%,64%,-6.1,-6.5,201,247,465,132,775,24,1073,169,439
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CLE,NBA,,223,4652,,,,47%,53%,-5.7,-8.8,67,108,204,47,294,6,324,72,204
3 seasons,,DEN,NBA,,162,3575,,,,24%,76%,-6.2,-5.5,77,59,141,56,265,10,404,46,129
2 seasons,,POR,NBA,,99,2923,,,,20%,80%,-5.5,-4.2,47,61,97,22,169,7,270,43,86
1 season,,SAC,NBA,,35,644,,,11%,85%,4%,-10.1,-5.0,10,14,19,7,27,1,56,4,15
1 season,,WAS,NBA,,15,131,,,,9%,91%,-8.3,-8.2,0,5,4,0,20,0,19,4,5
